id_producto,nombre_producto,categoria,fecha,stock_inicial,cantidad_ingresada,cantidad_egresada,stock_final,stock_minimo,proveedor,tiempo_reposicion_dias,estado_stock
0,SKT TORN ALLEN C/CIL. 12.9 M8X25,Herramientas,2025-02-21,137.0,2,25.0,114,21.0,Proveedor C,10.0,ok
1,C-SKT TORN ALLEN C/FRE C M8X25 1.25,Herramientas,2025-05-29,181.0,12,17.0,176,37.0,Proveedor C,13.0,ok
2,BULON CAB.EXAG 10X16,Mecanica,2025-05-17,62.0,24,31.0,55,19.0,Proveedor A,13.0,ok
3,Punteras preaisl. 10mm marron largo 12mm,Herramientas,2025-04-12,68.0,10,31.0,47,29.0,Proveedor B,10.0,ok
4,allen c cilindro m 12,Mecanica,2025-04-11,117.0,13,33.0,97,11.0,Proveedor C,1.0,ok
5,niple epoxi 3/4,Herramientas,2025-04-22,171.0,17,20.0,168,20.0,Proveedor B,7.0,ok
6,tuerca m6 x1,Mecanica,2025-02-28,97.0,28,19.0,106,32.0,Proveedor A,6.0,ok
7,2 chapas de 16 de 1220x2440,Electrico,2025-02-21,29.0,20,17.0,32,27.0,Proveedor A,1.0,bajo
8,tuerca m 10 autofrenante ,Hidraulico,2025-03-25,59.0,21,32.0,48,19.0,Proveedor C,6.0,ok
9,BASE 4 POCISIONES T,Electrico,2025-06-12,150.0,4,21.0,133,37.0,Proveedor C,10.0,ok
10,tuerca autrofrm16,Herramientas,2025-01-09,147.0,15,9.0,153,29.0,Proveedor A,11.0,ok
11,LIMPIAMANOS INDUSTRIAL X lt,Herramientas,2025-02-06,26.0,13,19.0,20,29.0,Proveedor C,-353.0,critico
12,PLIEGUE EN U INOX.,Herramientas,2025-01-22,171.0,16,12.0,175,29.0,Proveedor A,-279.0,ok
13,Tester,Electrico,2025-04-14,81.0,10,39.0,52,49.0,Proveedor A,6.0,bajo
14,si32kit kit armado dim 32,Electrico,2025-03-19,139.0,10,0.0,149,41.0,Proveedor A,11.0,ok
15,tuerca exag m6,Hidraulico,2025-03-12,174.0,15,9.0,180,21.0,Proveedor A,13.0,ok
16,arandela plana 5/8,Categoria desconocida,2025-06-13,147.0,0,12.0,135,41.0,Proveedor B,13.0,ok
17,punteras PIN 10 mm,Mecanica,2025-05-27,131.0,19,22.0,128,30.0,Proveedor C,14.0,ok
18,acople  y  10,Mecanica,2025-03-07,133.0,5,24.0,114,17.0,Proveedor A,4.0,ok
19,ENCODER CABLE (3 METERS),Herramientas,2025-01-05,58.0,22,23.0,57,12.0,Proveedor A,11.0,ok
20,allen 16x30 ,Mecanica,2025-02-11,53.0,15,8.0,60,47.0,Proveedor A,12.0,bajo
21,CAÑO ALUMINIO 40X40X3,Hidraulico,2025-02-02,140.0,13,30.0,123,44.0,Proveedor A,14.0,ok
22,torcha plasma ,Electrico,2025-01-07,123.0,12,17.0,118,19.0,Proveedor C,9.0,ok
23,maciso diam 6,Hidraulico,2025-06-22,184.0,12,27.0,169,37.0,Proveedor B,3.0,ok
24,arandela plana m8,Herramientas,2025-01-27,166.0,30,25.0,171,40.0,Proveedor B,6.0,ok
25,Tester,Herramientas,2025-01-17,138.0,10,22.0,126,27.0,Proveedor C,4.0,ok
26,"Cable unipolar 1 x 0,75",Hidraulico,2025-06-17,70.0,15,20.0,65,37.0,Proveedor A,1.0,ok
27,minicilindro aluminio simple vastago ,Hidraulico,2025-02-24,54.0,21,22.0,53,40.0,Proveedor C,11.0,bajo
28,PIÑON DOBLE OBB2 PASO 1/2 Z 14,Herramientas,2025-02-11,139.0,10,12.0,137,27.0,Proveedor B,7.0,ok
29,"puntera preaislada 0,75",Mecanica,2025-02-27,161.0,18,23.0,156,16.0,Proveedor B,13.0,ok
30,REDONDO TRAF 304 25.0MM,Mecanica,2025-06-02,188.0,3,0.0,191,38.0,Proveedor B,12.0,ok
31,Barra de resina acetalica 40x1000mm,Hidraulico,2025-01-01,66.0,15,41.0,40,40.0,Proveedor C,6.0,critico
32,ucfa 206 rec acetal  x30mm,Hidraulico,2025-04-16,51.0,25,34.0,42,34.0,Proveedor A,14.0,bajo
33,5v11g01-mdc24v electrovalvula 5/8 ,Herramientas,2025-06-24,86.0,0,1.0,85,39.0,Proveedor A,1.0,ok
34,AC Inverter 220V 2.2KW,Hidraulico,2025-02-17,65.0,17,10.0,72,24.0,Proveedor A,7.0,ok
35,Interruptor 3 polos + neutro a levas 40 Amp,Herramientas,2025-03-01,171.0,24,33.0,162,18.0,Proveedor A,7.0,ok
36,tubo termocontraible ,Herramientas,2025-04-10,112.0,8,21.0,99,40.0,Proveedor A,3.0,ok
37,BARRERA DIGITAL INFRARROJA,Herramientas,2025-02-27,90.0,25,40.0,75,31.0,Proveedor A,6.0,ok
38,chapa 2mmx1500x3000,Herramientas,2025-06-22,116.0,22,26.0,112,47.0,Proveedor B,4.0,ok
39,tubo germicida 30 w,Mecanica,2025-04-17,141.0,17,24.0,134,27.0,Proveedor C,2.0,ok
40,C-SKT TOR ALLEN C/CIL C 12.9 M8X12 1.25,Hidraulico,2025-06-28,38.0,12,17.0,33,11.0,Proveedor C,13.0,ok
41,fresa 6mm,Electrico,2025-06-02,173.0,13,20.0,166,16.0,Proveedor B,5.0,ok
42,"puente fijo bpn - 2,5",Hidraulico,2025-04-28,46.0,4,33.0,17,49.0,Proveedor C,14.0,critico
43,M.MALLA CADENA A RODILLO PASO 1/2BS 08B2 DOBLE,Herramientas,2025-06-27,55.0,13,38.0,30,42.0,Proveedor A,1.0,critico
44,ALLEN C/CILINDRIC MET 12X25 304,Hidraulico,2025-05-11,93.0,24,33.0,84,34.0,Proveedor C,5.0,ok
45,valvula c / piotaje neumatica ,Herramientas,2035-01-01,105.0,19,38.0,86,38.0,Proveedor C,14.0,ok
46,G 1/8 5/2 SOL. RES. A,Electrico,2025-04-22,123.0,15,23.0,115,15.0,Proveedor B,14.0,ok
47,pico de bronce 0.4 impres 3 D,Electrico,2025-05-04,145.0,6,0.0,151,43.0,Proveedor B,2.0,ok
48,ROD. BOLAS ZEN 7204-B-2RS,Hidraulico,2025-03-14,181.0,22,6.0,197,33.0,Proveedor C,7.0,ok
49,caño 40x40x1.6,Electrico,2025-06-06,69.0,3,20.0,52,11.0,Proveedor B,3.0,ok
50,termocontraible 3.2 x 10 mtr,Herramientas,2025-06-29,133.0,14,19.0,128,32.0,Proveedor B,7.0,ok
51,SKT TORN ALLEN C/CIL. 12.9 M12X100,Electrico,2025-04-29,65.0,5,3.0,67,10.0,Proveedor C,2.0,ok
52,rolo engomado en goma sanitaria ,Mecanica,2025-04-04,94.0,11,13.0,92,48.0,Proveedor B,5.0,ok
53,ALLEN C/CILINDRIC MET8X20 304,Electrico,2025-05-01,177.0,14,13.0,178,18.0,Proveedor A,12.0,ok
54,MACIZO REDONDO DIAM.16 - BARRA RECTIFICADA,Herramientas,2025-03-17,169.0,12,15.0,166,15.0,Proveedor B,12.0,ok
55,sensor  inductivo ,Electrico,2025-03-14,62.0,10,20.0,52,22.0,Proveedor A,12.0,ok
56,"cable envainado 4 x 1,5 mm",Electrico,2025-06-24,138.0,22,10.0,150,12.0,Proveedor B,12.0,ok
57,"Cable unipolar 1 x 0,75",Herramientas,2025-06-07,145.0,10,12.0,143,26.0,Proveedor B,5.0,ok
